UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Capri Refrigeration,@capriref,2024-02-22T08:28:51.000Z,"Capri Refrigeration
@capriref
·
Feb 22","Discover Capri's cooling performance for a different experience.
.
.
.
#serinlik #coolness #capri #capricooling #capridesign #caprirefrigerator #caprisogutma #capricoolingsystem #caprirefrigeration #caprisoğutmavemutfak #functionaldesign #Refrigerator #refrigeration",,,,,['https://pbs.twimg.com/media/GG7YJDNWIAAvzqx?format=jpg&name=small'],https://twitter.com/capriref/status/1760582413028057268
CurlyStache,@CurlyStache_GT,2024-02-22T02:37:36.000Z,"CurlyStache
@CurlyStache_GT
·
Feb 22",it's the middle of the week!! #dryer #clothes #refrigerator #joke #funny #fyp,,,,3,['https://pbs.twimg.com/media/GG6H-ptXcAA4m8g?format=jpg&name=small'],https://twitter.com/CurlyStache_GT/status/1760494016959815732
Candy Appliances,@AppliancesCandy,2024-02-22T12:00:03.000Z,"Candy Appliances
@AppliancesCandy
·
Feb 22","Hint: Everything that's green is not necessarily edible!

Find the odd product from the lot and tell us in the comments.

Buy now on Flipkart: http://bit.ly/3ZGpxQx 

#Candy #CandyAppliances #CandyRefrigerator #CandyOnFlipkart #Refrigerator",🛒,,,,['https://pbs.twimg.com/media/GG8HZr4aIAADZWX?format=jpg&name=small'],https://twitter.com/AppliancesCandy/status/1760635560207483044
manuals.plus,@ManualsPlus,2024-02-22T05:21:34.000Z,"manuals.plus
@ManualsPlus
·
Feb 22",Keep your food fresh and your kitchen organized with the Linarie LTCD400NFX Air Cooled Frost Free Refrigerator! Check out the user manual for all the tips and tricks  #Linarie #Refrigerator #HomeAppliances,🥶 🍎,,,,[],https://twitter.com/ManualsPlus/status/1760535278278918224
Deals Radar,@dealsradar,2024-02-22T09:13:00.000Z,"Deals Radar
@dealsradar
·
Feb 22","Haier 237 L 3 Star Frost Free Inverter Double Door Bottom Mount Refrigerator Appliance (2023 Model, HEB-243GS-P, Moon Silver, Convertible) - https://amzn.to/3UMcmia

Deal Price - ₹25,490
M.R.P. - ₹36,990

31% OFF - #Deals #Refrigerator

RT  & Follow 
@DealsRadar
 for more Deals",🔄,,,,['https://pbs.twimg.com/card_img/1762520671190720512/5EyigVwN?format=png&name=small'],https://twitter.com/dealsradar/status/1760593520681975885
Times Now Navbharat,@TNNavbharat,2024-02-22T14:50:40.000Z,"Times Now Navbharat
@TNNavbharat
·
Feb 22","गर्मियों में फ्रिज इस्तेमाल करने से पहले कर लें ये काम..

#Refrigerator",,,,,['https://pbs.twimg.com/profile_images/1354074536925388802/qkHhpnVw_bigger.jpg'],https://twitter.com/TNNavbharat/status/1760678499579486424
Zaara21 Services,@zaara21services,2024-02-24T13:09:10.000Z,"Zaara21 Services
@zaara21services
·
Feb 24","Fridge compressor repair in Delhi
#refrigerator #fridge #appliances #washingmachine #homeappliances #kitchen #electronics #freezer #kitchenappliances #appliancerepair #appliance #stove #homeappliance #refrigerators #refrigeration #kitchendesign #oven #dishwasher #dryer #Homeless",,,,,['https://pbs.twimg.com/ext_tw_video_thumb/1761377679843209216/pu/img/HpEMS0il02plE9w7.jpg'],https://twitter.com/zaara21services/status/1761377732695560703
Big Joe Appliance Repair Service,@bigjoerepair,2024-02-24T15:00:02.000Z,"Big Joe Appliance Repair Service
@bigjoerepair
·
Feb 24","Say goodbye to temperature fluctuations and mysterious fridge noises! 

Our team of experienced technicians will address these and other malfunctions, ensuring your fridge works as good as new.  

#bigjoesandiego #refrigeratorservice #refrigerator #reliablerepairs",🌡 🔊,,,1,['https://pbs.twimg.com/media/GHGcaltWgAAo6-v?format=jpg&name=small'],https://twitter.com/bigjoerepair/status/1761405630689186263
Optimum World Africa,@OptimumWorldA,2024-02-24T14:01:43.000Z,"Optimum World Africa
@OptimumWorldA
·
Feb 24","At Optimum you get premium home appliances at a discounted rate  

Don't miss out on our cool deal. Visit our website today - http://buff.ly/49rT6ez

#ghana #airconditioner #optimumworlafrica #refrigerator",😍,,,,['https://pbs.twimg.com/media/GHG3vGQXQAI0Acv?format=jpg&name=small'],https://twitter.com/OptimumWorldA/status/1761390953519018098
pooja rakade,@Poojamaximize,2024-02-24T08:57:59.000Z,"pooja rakade
@Poojamaximize
·
Feb 24","#Drawer #Refrigerator Market was valued at US$ 1.69 Bn. in 2022. Global Drawer Refrigerator Market size is estimated to grow at a CAGR of 9.36% during the forecast period.
Get more :",,,,,['https://pbs.twimg.com/card_img/1762784175525167104/rP9xLX6V?format=png&name=small'],https://twitter.com/Poojamaximize/status/1761314518712434881
Candy Appliances,@AppliancesCandy,2024-02-24T11:30:00.000Z,"Candy Appliances
@AppliancesCandy
·
Feb 24","Experience the efficiency of Candy appliances from the comfort of your couch. 

Buy now on Flipkart: http://bit.ly/3ZGpxQx 

#CandyAppliances #Candy #CandyRefrigerator #LED #Refrigerator #CandyLED",🛒,,,,['https://pbs.twimg.com/media/GHGFTasWIAA0aTA?format=jpg&name=small'],https://twitter.com/AppliancesCandy/status/1761352774598754335
Pramod wani,@PramodWani18,2024-02-24T14:26:51.000Z,"Pramod wani
@PramodWani18
·
Feb 24","Replying to 
@PramodWani18",,1,,,[],https://twitter.com/PramodWani18/status/1761397280102359179
Jose Luis Toledo,@AjapplianceJose,2024-02-25T19:43:53.000Z,"Jose Luis Toledo
@AjapplianceJose
·
Feb 26","New Side by side Refrigerator with Warranty
#refrigerator #fridge #freezer",,,,,['https://pbs.twimg.com/ext_tw_video_thumb/1761839400269332481/pu/img/75X6fLdZv91IKSXm.jpg'],https://twitter.com/AjapplianceJose/status/1761839452039553120
Sergio Carval,@SergiCarV,2024-02-25T09:40:44.000Z,"Sergio Carval
@SergiCarV
·
Feb 25","Replying to 
@JPMajor",,1,,1,[],https://twitter.com/SergiCarV/status/1761687664942551489
Optimum World Africa,@OptimumWorldA,2024-02-25T14:01:18.000Z,"Optimum World Africa
@OptimumWorldA
·
Feb 25","Enjoy stress-free living with Optimum Premium Home Appliances.

Get Home appliances within your budget today!

Check them out on our website: https://buff.ly/42HZbkh

#optimumworldafrica #ghana #refrigerator #airconditioner",,,,,['https://pbs.twimg.com/media/GHMBO0CWAAAp-hj?format=jpg&name=small'],https://twitter.com/OptimumWorldA/status/1761753236975857759
Puja Enterprises Regd,@rbyadav548,2024-02-25T12:52:20.000Z,"Puja Enterprises Regd
@rbyadav548
·
Feb 25","#Refrigerator #Repairing #Mayur #Vihar #Delhi.
https://business.google.com/v/puja-appliances-service/015949525598150123013/be09/_…?",,1,,,['https://pbs.twimg.com/media/GHLr-8DW4AAQHJ_?format=jpg&name=small'],https://twitter.com/rbyadav548/status/1761735881709306053
science & galaxy,@SciGalaxyGuide,2024-02-25T17:00:00.000Z,"science & galaxy
@SciGalaxyGuide
·
Feb 26",the invaluable role your fridge plays in your everyday life and gain a deeper appreciation for its significance #FridgeAppreciation #Documentary #MustWatch #fridge #everydayfacts #learnwithtiktok #sciencetok #facts #factsyoudidntknow #refrigerator #greatinvention,,,,1,['https://pbs.twimg.com/ext_tw_video_thumb/1761667946990997504/pu/img/yckwQuhroP6-cFXo.jpg'],https://twitter.com/SciGalaxyGuide/status/1761798209972916317
Deals Radar,@dealsradar,2024-02-25T16:00:01.000Z,"Deals Radar
@dealsradar
·
Feb 26","Haier 325 L 3 Star Frost Free Inverter Double Door Bottom Mount Refrigerator Appliance (Dazzle Steel, Convertible) - https://amzn.to/42THePT

Deal Price - ₹34,990
M.R.P. - ₹50,990

31% OFF - #Deals #Refrigerator

RT  & Follow 
@DealsRadar
 for more Deals!",🔄,,,1,[],https://twitter.com/dealsradar/status/1761783115402637709
